Supplementary Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c) Mean responses; spontaneous firing rate has been subtracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AgOr1 ,AgOr2  ,AgOr3  ,AgOr4  ,AgOr5  ,AgOr6  ,AgOr8  ,AgOr9  ,AgOr10  ,AgOr11  ,AgOr12  ,AgOr13  ,AgOr15  ,AgOr16  ,AgOr18  ,AgOr20  ,AgOr21  ,AgOr23  ,AgOr25  ,AgOr26  ,AgOr27  ,AgOr30  ,AgOr31  ,AgOr32  ,AgOr33  ,AgOr35  ,AgOr38  ,AgOr39  ,AgOr41  ,AgOr42  ,AgOr43  ,AgOr44  ,AgOr45  ,AgOr46  ,AgOr48  ,AgOr50  ,AgOr53  ,AgOr54  ,AgOr56  ,AgOr57  ,AgOr59  ,AgOr61  ,AgOr63  ,AgOr64  ,AgOr65  ,AgOr66  ,AgOr67  ,AgOr73  ,AgOr75  ,AgOr76  
3-methylphenol,177,75,-17,29,-3,25,-10,161,118,37,75,44,152,14,29,97,37,0,-9,-2,-1,2,-2,15,-15,0,60,22,-3,-12,-26,-16,-16,15,-5,41,2,-16,28,45,-2,1,2,-6,15,-6,-7,0,-13,-5
4-methylphenol,178,118,-7,60,-4,16,-2,177,167,26,156,160,73,39,32,52,27,-2,-10,-1,4,1,1,34,-12,4,99,48,-10,-6,-18,-14,-7,21,0,29,4,-6,19,27,-1,4,-4,2,76,-6,-4,-5,-4,-6
2-ethylphenol,10,116,-17,23,0,41,-2,226,249,36,111,-1,82,12,77,140,64,-2,-9,-2,-6,-1,-6,27,-13,-4,90,38,-2,-9,-10,-11,-17,10,-6,58,0,-26,37,91,-7,-3,2,-6,117,-6,6,-1,-8,-9
4-ethylphenol,145,29,-2,98,2,5,7,64,16,3,82,25,6,27,10,10,8,-1,-9,-1,3,-3,0,17,-5,-1,44,61,0,-5,-2,-12,-2,10,2,20,2,-10,19,24,-5,-1,-1,-4,52,-4,2,2,-4,-7
2-propylphenol,1,11,-5,28,1,9,-1,110,28,7,-1,-2,-4,-1,8,20,4,-2,-4,6,2,0,-3,1,-1,3,39,17,-4,-7,-2,-13,-12,16,1,42,1,-5,1,5,4,-1,-3,0,60,1,-4,1,-1,3
methyl-salicylate,-9,1,-11,44,-2,40,-9,51,39,18,-9,51,130,1,19,8,-1,4,-15,0,-1,10,-2,8,-13,-8,50,49,-9,-12,-10,-12,-17,24,-2,-5,2,-20,11,61,-4,1,3,-3,2,-5,-5,-2,20,-4
methyl-2-methyl-benzoate,-9,0,-8,1,-1,17,-2,113,9,41,-13,87,185,4,112,22,17,0,-9,3,-3,2,-2,19,-9,-5,-1,-1,-6,-8,-8,-21,-10,12,-1,9,4,-1,18,71,0,-1,0,-5,1,-7,-1,-2,29,-4
2-ethyl-toluene,-8,5,-3,-2,-4,8,-1,1,31,124,227,27,40,8,44,102,70,-1,-5,4,0,1,0,-3,-10,-10,34,4,-11,-8,-8,-9,-10,17,-3,101,-5,-7,14,61,0,-3,3,-8,-1,-1,-9,-3,6,-3
indole,-5,254,2,4,3,20,6,-1,247,21,74,41,31,1,15,78,29,-1,-6,1,-2,1,0,2,-5,0,47,28,-6,-1,-5,-3,-8,-1,-3,13,-1,-6,0,17,-1,0,-1,-2,1,0,1,-4,0,0
3-methylindole,1,111,2,-1,-1,7,-2,1,244,30,18,11,99,4,18,30,0,1,-2,1,6,1,-1,1,-1,4,2,1,-4,-2,2,-5,0,6,0,0,5,-5,-2,4,-4,-1,-2,4,3,0,-5,-2,-1,2
